Comment,Designator,Footprint,LCSC Part #
1K,R1 R3,0603,C21190
10K,R2 R4 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22,0603,C25804
470R,R5 R6 R7 R8 R9 R10 R11 R12,0603,C23179
100nF,C1,0603,C14663
100uF,C2,D6.3xL5.4mm,C340722
ATtiny88-AU,U1,TQFP32,C111451
MMBT3904,Q1 Q2,SOT-23,C20526
